0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC  as on October 15, 2013","AUC  as on October 15, 2013","AUC  as on October 15, 2013","AUC  as on October 15, 2013","AUC  as on October 15, 2013","AUC  as on October 15, 2013","Net  Investment  October 1-15, 2013","Net  Investment  October 1-15, 2013","Net  Investment  October 1-15, 2013","Net  Investment  October 1-15, 2013","Net  Investment  October 1-15, 2013","Net  Investment  October 1-15, 2013","Net  Investment  October 16-31, 2013","Net  Investment  October 16-31, 2013","Net  Investment  October 16-31, 2013","Net  Investment  October 16-31, 2013","Net  Investment  October 16-31, 2013","Net  Investment  October 16-31, 2013","AUC  as on October 31, 2013","AUC  as on October 31, 2013","AUC  as on October 31, 2013","AUC  as on October 31, 2013","AUC  as on October 31, 2013","AUC  as on October 31, 2013","October 31, 2013"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,"October 31, 2013"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"October 31, 2013"
1,Automobiles  & Auto Components,61144,0,61144,9911,0,9911,269,0,269,44,0,44,480,0,480,78,0,78,63485,0,63485,10338,0,10338,"October 31, 2013"
2,Total Financial Services,304149,29179,333328,49301,4730,54030,225,-477,-253,36,-77,-41,2261,-1565,696,368,-255,113,329491,28046,357537,53654,4567,58221,"October 31, 2013"
2a,Banks,176792,167,176960,28657,27,28684,51,0,51,8,0,8,1587,0,1587,258,0,258,193188,167,193356,31459,27,31486,"October 31, 2013"
2b,Other  Financial Services1,127357,29011,156368,20644,4703,25346,174,-477,-304,28,-77,-49,674,-1565,-891,110,-255,-145,136303,27879,164182,22195,4540,26735,"October 31, 2013"
3,Capital  Goods,66046,424,66470,10706,69,10774,533,41,574,86,7,93,842,20,862,137,3,140,68608,451,69059,11172,73,11246,"October 31, 2013"
4,Chemicals  & Petrochemicals,9291,4,9295,1506,1,1507,82,0,82,13,0,13,169,0,169,28,0,28,10123,4,10127,1648,1,1649,"October 31, 2013"
5,Coal,10250,0,10250,1662,0,1662,62,0,62,10,0,10,-13,0,-13,-2,0,-2,10364,0,10364,1688,0,1688,"October 31, 2013"
